头部血管治疗性超声	0.01001
颈部血管治疗性超声	0.01002
心脏治疗性超声	0.02001
周围血管治疗性超声	0.03001
化学治疗药物置入	0.10001
输注重组蛋白	0.11001
一氧化氮疗法	0.12001
输注人类B型钠尿肽(hBNP)	0.13001
注射f唑烷酮类抗生素	0.14001
输注白细胞介素	0.15001
注射阿地白细胞介素	0.15002
药物静脉旁路移植加压疗法	0.16001
经活体外血管治疗	0.16002
高压移植[引导]	0.16003
灌注血管加压剂	0.17001
单克隆抗体治疗	0.18001
多克隆抗体治疗	0.18002
颈动脉血管内超声(IVUS)	0.21002
颅外脑血管血管内超声(IVUS)	0.21003
胸内血管血管内超声(IVUS)	0.22002
胸主动脉血管内超声(IVUS)	0.22003
周围血管血管内超声(IVUS)	0.23002
臂血管血管内超声(IVUS)	0.23003
腿血管血管内超声(IVUS)	0.23004
冠状动脉血管内超声(IVUS)	0.24001
肾血管血管内超声(IVUS)	0.25002
血管内超声	0.29001
CT/CTA计算机辅助外科	0.31001
MR/MRA神经导航辅助外科	0.32001
荧光透视计算机辅助外科	0.33001
无显像导航计算机辅助外科	0.34001
磁导航计算机辅助外科	0.34002
显像导航计算机辅助外科	0.35001
单一血管的操作	0.40001
两支血管的操作	0.41001
三支血管的操作	0.42001
四支血管的操作	0.43001
四支以上血管的操作	0.43002
血管分叉部位的操作	0.44001
置入一个血管支架	0.45001
置入两个血管支架	0.46001
置入三个血管支架	0.47001
置入四个血管支架	0.48001
置入四个以上血管支架	0.48002
双心室起搏器置入术	0.50001
心脏再同步起搏器脉冲发生器置入术(全系统)[CRT-P置入术]	0.50002
双心室起搏伴心内除颤器置入术	0.51001
心脏再同步除颤器脉冲发生器置入术[CRT-D置入术]	0.51002
左心室冠状静脉电极置入术	0.52001
左心室冠状静脉电极置换术	0.52002
心脏再同步起搏器脉冲发生器置换术(全系统)[CRT-P置换术]	0.53002
心脏再同步除颤器脉冲发生器置换术[CRT-D置换术]	0.54002
经皮股动脉药物洗脱支架置入术	0.55007
经皮降主动脉药物洗脱支架置入术	0.55008
经皮周围动脉药物洗脱支架置入术	0.55009
经皮周围静脉药物洗脱支架置入术	0.5501
经皮尺动脉药物洗脱支架置入术	0.55011
经皮腓动脉药物洗脱支架置入术	0.55012
经皮肱动脉药物洗脱支架置入术	0.55013
经皮桡动脉药物洗脱支架置入术	0.55014
经皮上肢静脉药物洗脱支架置入术	0.55015
经皮头臂静脉药物洗脱支架置入术	0.55016
经皮外周动脉可降解支架置入术	0.55017
经皮锁骨下动脉药物洗脱支架置入术	0.55019
冠状动脉血流储备分数检查[FFR检查]	0.59001
冠脉瞬时无波形比值检查[iFR检查]	0.59002
冠脉微循环阻力指数检查[IMR检查]	0.59003
经皮颈总动脉球囊扩张成形术	0.61008
经皮颅外血管成形术	0.61009
经皮椎动脉球囊扩张成形术	0.61011
经皮颈静脉球囊扩张成形术	0.61012
经皮颈动脉球囊扩张成形术	0.61013
经皮颅内血管成形术	0.62003
经皮大脑中动脉球囊扩张成形术	0.62005
经皮基底动脉血管成形术	0.62006
经皮交通动脉血管成形术	0.62007
经皮颈动脉支架置入术	0.63004
经皮颈动脉远端保护装置置入术	0.63005
经皮颈动脉覆膜支架置入术	0.63006
经皮颈动脉药物洗脱支架置入术	0.63007
经皮基底动脉支架置入术	0.64007
经皮椎动脉支架置入术	0.64009
经皮颅外远端保护装置置入术	0.64012
经皮椎动脉药物洗脱支架置入术	0.64013
经皮大脑中动脉支架置入术	0.65006
经皮颅内动脉支架置入术	0.65008
经皮颅内血管支架置入术	0.65009
经皮颅内动脉远端保护装置置入术	0.6501
经皮冠状血管成形术	0.66003
经皮冠状动脉球囊扩张成形术	0.66004
经皮冠状动脉药物球囊扩张成形术	0.66008
胸腔内动脉血管内压力测量	0.67001
肢体动脉压测量	0.68001
周围动脉血管内压力测量	0.68002
髋关节假体翻修术	0.70001
髋臼假体翻修术	0.71001
髋关节股骨假体翻修术	0.72001
金属-聚乙烯髋关节置换	0.74001
金属-金属髋关节置换	0.75001
陶瓷-陶瓷髋关节置换	0.76001
陶瓷-聚乙烯髋关节置换	0.77001
全膝关节假体翻修术	0.80001
膝关节胫骨假体翻修术	0.81001
膝关节股骨假体翻修术	0.82001
膝关节髌骨假体翻修术	0.83001
全髋关节表面置换术	0.85001
股骨头表面置换术	0.86001
髋臼表面置换术	0.87001
与供者有血缘关系的活体移植	0.91001
与供者无血缘关系的活体移植	0.92001
来源于尸体的移植	0.93001
术中神经生理监测	0.94001
脑池穿刺术	1.01001
小脑延髓池穿刺术	1.01002
经脑室分流导管脑室穿刺术	1.02001
脑室穿刺术	1.09002
前囟门穿刺术	1.09003
硬脑膜下腔穿刺抽吸术	1.09004
颅压监护探极置入术	1.10001
经皮脑膜活检	1.11001
直视下脑膜活检术	1.12001
经皮脑活检	1.13001
立体定向脑活检	1.13002
直视下脑活检术	1.14001
